epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,177.712,1.09586,3.4789,1.07491,0.00333,1,0.8929,0.53011,0.66565,3.25133,0.82547,0.00054,0.00018,0.00054,0.00018,0.00054,0.00018,0.00054,0.00018
2,277.353,0.64893,3.21055,0.92269,0.00333,1,0.92787,0.68524,0.25273,3.16752,0.77944,0.00111743,0.000372476,0.00111743,0.000372476,0.00111743,0.000372476,0.00111743,0.000372476
3,350.763,0.47699,2.91084,0.87021,0.00333,1,0.92224,0.84389,0.21548,3.11565,0.7695,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032,0.0016711,0.000557032
4,424.749,0.39471,2.46272,0.84434,0.00333,1,0.995,0.96841,0.27696,2.9726,0.75557,0.002201,0.000733668,0.002201,0.000733668,0.002201,0.000733668,0.002201,0.000733668
5,499.055,0.36505,1.84744,0.82615,0.99974,1,0.995,0.89825,0.40571,2.46892,0.75366,0.00270715,0.000902384,0.00270715,0.000902384,0.00270715,0.000902384,0.00270715,0.000902384
6,566.526,0.39603,1.46906,0.82187,0.99676,1,0.995,0.91549,0.37955,2.02837,0.7475,0.00318954,0.00106318,0.00318954,0.00106318,0.00318954,0.00106318,0.00318954,0.00106318
7,627.104,0.36175,1.34041,0.81183,0.99926,1,0.995,0.93377,0.32873,1.7161,0.74513,0.00364817,0.00121606,0.00364817,0.00121606,0.00364817,0.00121606,0.00364817,0.00121606
8,687.522,0.37681,1.24119,0.8145,0.99863,1,0.995,0.91591,0.39103,1.69376,0.75013,0.00408304,0.00136101,0.00408304,0.00136101,0.00408304,0.00136101,0.00408304,0.00136101
9,748.283,0.37294,1.15778,0.82594,0.99798,1,0.995,0.91334,0.3591,1.79642,0.7493,0.00449414,0.00149805,0.00449414,0.00149805,0.00449414,0.00149805,0.00449414,0.00149805
10,808.739,0.37774,1.12483,0.81845,0.99759,1,0.995,0.96409,0.27486,1.82561,0.75585,0.00488149,0.00162716,0.00488149,0.00162716,0.00488149,0.00162716,0.00488149,0.00162716
11,862.444,0.33588,1.12365,0.81924,0.99741,1,0.995,0.92147,0.30892,1.86631,0.75846,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,923.694,0.34804,1.10368,0.82668,0.99772,1,0.995,0.94599,0.29022,1.77395,0.75714,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,977.522,0.33082,1.06576,0.8349,0.998,1,0.995,0.92645,0.34072,1.61865,0.75933,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,1037.91,0.32016,1.03701,0.82325,0.99855,1,0.995,0.96999,0.26426,1.41698,0.76144,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,1092.57,0.31184,0.98975,0.83109,0.99861,1,0.995,0.92798,0.32122,1.25765,0.76478,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,1153.02,0.28819,0.89372,0.81261,0.99867,1,0.995,0.97287,0.3053,1.19925,0.76362,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,1206.81,0.27597,0.89517,0.81475,0.99869,1,0.995,0.95118,0.284,1.10231,0.75687,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,1267.12,0.26723,0.8729,0.81843,0.99867,1,0.995,0.98485,0.19511,1.0289,0.75081,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,1320.96,0.24291,0.80448,0.81061,0.99867,1,0.995,0.98674,0.22916,1.03635,0.75171,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,1381.79,0.25091,0.78799,0.81251,0.99866,1,0.995,0.995,0.19039,0.99545,0.75103,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
